Variable_Names
TimeStamp
Toolcode Execution Time
Pos X(inch)
Pos Y(inch)
Pos Z(inch)
Velocity X
Velocity Y
Velocity Z
Pos Alps(inch)
Alps Spot Size(inch)
PF4 RPM
PF4 RPM Setpoint
PF4 Argon MFlow
Center Purge Argon MFlow
PF4 Argon VFlow
Center Purge Argon VFlow
PF4 Argon Temp(°F)
Center Purge Argon Temp(°F)
PF4 Argon Absolute Pressure
Center Purge Argon Absolute Pressure
H2O Sensor
O2 Sensor
Head Temperature (RTD 1)(°F)
PF4 Top Pressure
PF4 Bottom Pressure
Laser On
Laser Setpoint
Laser Power (from laser)
Laser Water Flow (L/min)
Laser Water Temp (°C)
DI Water Temp (°C)
Laser On Time (ms)
Feed Fiber FFBD (mV)
Process Fiber FFBD (mV)
Power From Meter
Beam Size From Meter (inch)
Beam Pos X From Meter (inch)
Beam Pos Y From Meter (inch)
Power From Meter (uncompensated)
Beam Flags From Meter
Camera Temp(°F)
Melt Pool Area
Melt Pool Area: Valid Value
Layer #
Events
TimeStamp_Original
