TimeStamp,Pos X(inch),Pos Y(inch),Pos Z(inch),Pho X(inch),Pho Y(inch),Pho Z(inch),Pho Tilt,Pho Rotate,Motion Compensation Active,Pos Alps(inch),Alps Spot Size(inch),PF1 RPM Setpoint,PF2 RPM Setpoint,PF4 RPM Setpoint,PF1 Argon: Valid Value,PF2 Argon: Valid Value,PF3 Argon: Valid Value,PF4 Argon: Valid Value,Center Purge Argon MFlow,Center Purge Argon: Valid Value,Center Purge Argon VFlow,PF1 Argon Temp(°F),PF2 Argon Temp(°F),PF3 Argon Temp(°F),PF4 Argon Temp(°F),Center Purge Argon Temp(°F),PF1 Argon Absolute Pressure,PF2 Argon Absolute Pressure,PF3 Argon Absolute Pressure,PF4 Argon Absolute Pressure,Center Purge Argon Absolute Pressure,Center Purge Pressure: Valid Value,H2O Sensor,O2 Sensor,Head Temperature (RTD 1)(°F),PF2 Powder Low,PF3 Powder Low,PF4 Powder Low,PF1 Top Pressure,PF1 Bottom Pressure,Dust Collector Diff Pressure,PF2 Top Pressure,PF2 Bottom Pressure,Powder Manifold Pressure Sensor,PF3 Top Pressure,PF3 Bottom Pressure,PF4 Top Pressure,PF4 Bottom Pressure,Optics Box Pressure Sensor,Optics Box Pressure: Valid Value,Dryrun Mode,Laser Setpoint,Laser Water Flow (L/min),Laser Water Temp (°C),DI Water Temp (°C),Process Fiber FFBD (mV),Beam Flags From Meter,Camera Temp(°F),Contour Override,Hatch Override,Cmd Mode,DeadMove Override,Block Number
06:15.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.37,1019.2,73.7,1,1,1,1.555,1.56,0.034,0.003,0.003,6.812,0.002,0.001,0.003,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:16.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.99,1,39.09,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.03,13.04,14.99,1,13.36,1121.5,73.7,1,1,1,1.557,1.574,0.029,0.003,0.002,6.799,0.002,0.001,0,0.002,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:17.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.97,1,39.07,80.74,80.47,80.06,79.41,75.4,15.2,13.03,13.04,13.04,14.99,1,13.36,1254.9,73.7,1,1,1,1.556,1.57,0.035,0.003,0.002,6.799,0.002,0.001,0.004,0.004,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:18.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1294.3,73.7,1,1,1,1.556,1.565,0.025,0.003,0.002,6.812,0.002,0.001,0.001,0.002,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:19.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.03,13.04,14.99,1,13.36,1211.1,73.7,1,1,1,1.556,1.567,0.024,0.003,0.002,6.812,0.002,0.001,0,0.004,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:20.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.1,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.03,13.05,15,1,13.35,1232.4,73.7,1,1,1,1.557,1.56,0.025,0.003,0.002,6.799,0.002,0.001,0.01,0.004,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:21.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.97,1,39.07,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1288.5,73.7,1,1,1,1.557,1.56,0.016,0.004,0.003,6.812,0.003,0.001,0.002,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:22.4,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1517.2,73.7,1,1,1,1.554,1.568,0.02,0.003,0.002,6.799,0.002,0.001,0.008,0.004,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:23.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1532.4,73.7,1,1,1,1.556,1.576,0.026,0.004,0.002,6.812,0.002,0.001,0.005,0.004,4.144,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:24.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1347.6,73.7,1,1,1,1.557,1.568,0.03,0.003,0.002,6.787,0.002,0.001,0,0.004,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:25.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.98,1,39.07,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1561.9,73.7,1,1,1,1.557,1.566,0.035,0.003,0.002,6.812,0.002,0.001,0.002,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:26.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,1685.6,73.7,1,1,1,1.555,1.572,0.025,0.003,0.002,6.812,0.002,0.001,0.003,0.003,4.144,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:27.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1609.3,73.7,1,1,1,1.556,1.577,0.026,0.003,0.003,6.812,0.002,0.001,0.007,0.002,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:28.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.98,1,39.08,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1661.6,73.7,1,1,1,1.557,1.569,0.027,0.003,0.002,6.799,0.002,0.001,0,0.003,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:29.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.05,1,39.13,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1650.4,73.7,1,1,1,1.558,1.56,0.029,0.003,0.002,6.799,0.002,0.001,0,0.002,4.144,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:30.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.99,1,39.09,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1739.7,73.7,1,1,1,1.554,1.568,0.016,0.003,0.003,6.824,0.002,0.001,0.008,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:31.5,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.04,1,39.13,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.03,13.05,14.99,1,13.36,1568.2,73.7,1,1,1,1.557,1.561,0.016,0.003,0.002,6.787,0.002,0.001,0.001,0.002,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:32.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.03,13.04,14.99,1,13.36,1296.5,73.7,1,1,1,1.558,1.559,0.024,0.003,0.003,6.787,0.002,0.001,0,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:33.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.98,1,39.08,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1377,73.7,1,1,1,1.556,1.564,0.015,0.003,0.002,6.799,0.003,0.001,0.003,0.005,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:34.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.99,1,39.08,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,1353.2,73.7,1,1,1,1.555,1.566,0.027,0.003,0.002,6.799,0.002,0.001,0,0.004,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:35.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.1,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,1142.9,73.7,1,1,1,1.558,1.56,0.035,0.003,0.002,6.787,0.002,0.001,0.003,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:36.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,943,73.7,1,1,1,1.556,1.56,0.031,0.003,0.003,6.799,0.003,0.001,0,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:37.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,951.9,73.7,1,1,1,1.558,1.559,0.035,0.003,0.002,6.787,0.002,0.001,0.003,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:38.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,842.6,73.7,1,1,1,1.557,1.574,0.033,0.003,0.002,6.812,0.002,0.001,0.012,0.003,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:39.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,978.3,73.7,1,1,1,1.557,1.562,0.027,0.003,0.002,6.799,0.003,0.001,0.001,0.003,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:40.6,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1461.6,73.7,1,1,1,1.558,1.577,0.026,0.003,0.002,6.799,0.002,0.001,0.007,0.004,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:41.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1482.8,73.7,1,1,1,1.556,1.574,0.025,0.003,0.002,6.799,0.002,0.001,0.01,0.002,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:42.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.03,13.04,14.99,1,13.35,1331.5,73.7,1,1,1,1.558,1.566,0.029,0.003,0.002,6.799,0.002,0.001,0.003,0.002,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:43.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.03,13.04,14.99,1,13.35,1305.8,73.7,1,1,1,1.555,1.567,0.035,0.003,0.002,6.812,0.002,0.001,0,0.002,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:44.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.97,1,39.07,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.05,14.99,1,13.35,1067.6,73.7,1,1,1,1.556,1.569,0.025,0.003,0.003,6.812,0.002,0.001,0.012,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.2,100,100,1,100,1
06:45.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.03,13.04,14.99,1,13.35,948.4,73.7,1,1,1,1.556,1.571,0.025,0.003,0.002,6.812,0.002,0.001,0.01,0.002,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:46.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.94,1,39.04,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.03,13.04,14.98,1,13.35,1123.6,73.7,1,1,1,1.557,1.572,0.031,0.003,0.003,6.787,0.002,0.001,0.003,0.003,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:47.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1037.2,73.7,1,1,1,1.556,1.567,0.028,0.003,0.003,6.812,0.002,0.001,0.011,0.003,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:48.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.98,1,39.08,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1153.6,73.7,1,1,1,1.555,1.571,0.026,0.003,0.002,6.824,0.002,0.001,0.009,0.002,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:49.7,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,39.99,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1003.1,73.7,1,1,1,1.555,1.562,0.029,0.003,0.003,6.787,0.002,0.002,0.003,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:50.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.04,1,39.13,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1022.5,73.7,1,1,1,1.558,1.567,0.032,0.003,0.002,6.812,0.002,0.001,0,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:51.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.39,75.4,15.2,13.04,13.04,13.04,14.99,1,13.35,1189.3,73.7,1,1,1,1.556,1.559,0.035,0.003,0.002,6.824,0.002,0.001,0.001,0.002,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:52.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.03,1,39.12,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.05,14.99,1,13.36,1206.2,73.7,1,1,1,1.555,1.56,0.025,0.003,0.002,6.824,0.002,0.001,0,0.004,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:53.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1360.1,73.7,1,1,1,1.557,1.567,0.024,0.003,0.003,6.812,0.002,0.001,0.005,0.003,4.169,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:54.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.02,1,39.11,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,1393.8,73.7,1,1,1,1.556,1.573,0.025,0.003,0.002,6.812,0.002,0.001,0.002,0.003,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:55.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.05,1,39.13,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,15,1,13.36,1153.4,73.7,1,1,1,1.556,1.564,0.032,0.003,0.002,6.787,0.002,0.001,0,0.004,4.181,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:56.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40.01,1,39.1,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.05,14.99,1,13.36,1071.9,73.7,1,1,1,1.557,1.562,0.025,0.003,0.002,6.824,0.002,0.001,0.005,0.003,4.156,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:57.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.04,14.99,1,13.36,917.7,73.7,1,1,1,1.556,1.559,0.014,0.003,0.002,6.812,0.002,0.001,0.001,0.003,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
06:58.8,-0.968,-0.79,0.012,-13.25012,-14.37025,-25.95666,-0.0002,16972.38,1,2.431,0.07,6.95,2,0,1,1,1,1,40,1,39.09,80.74,80.47,80.06,79.41,75.4,15.2,13.04,13.04,13.05,14.99,1,13.36,755.8,73.7,1,1,1,1.557,1.574,0.025,0.003,0.002,6.824,0.002,0.001,0.005,0.003,4.194,1,1,1010,30.5,20.7,28.3,13,2684535000,93.4,100,100,1,100,1
