layer,laser_on,x1,y1,z1,x2,y2,z2,feedrate
1.0,True,-25.8968,25.5704,0.025,-25.8598,25.6536,0.025,600.0
1.0,True,-25.8598,25.6536,0.025,-25.7728,25.7697,0.025,600.0
1.0,True,-25.7728,25.7697,0.025,-25.7339,25.8054,0.025,600.0
1.0,True,-25.7339,25.8054,0.025,-25.6536,25.8598,0.025,600.0
1.0,True,-25.6536,25.8598,0.025,-25.5378,25.9066,0.025,600.0
1.0,True,-25.5378,25.9066,0.025,-25.4513,25.9227,0.025,600.0
1.0,True,-25.4513,25.9227,0.025,-24.6923,25.9252,0.025,600.0
1.0,True,-24.6923,25.9252,0.025,-23.8152,25.9252,0.025,600.0
1.0,True,-23.8152,25.9252,0.025,-22.9382,25.9252,0.025,600.0
1.0,True,-22.9382,25.9252,0.025,-22.0611,25.9252,0.025,600.0
1.0,True,-22.0611,25.9252,0.025,-21.2009,25.9252,0.025,600.0
1.0,True,-21.2009,25.9252,0.025,-20.3408,25.9252,0.025,600.0
1.0,True,-20.3408,25.9252,0.025,-19.4806,25.9252,0.025,600.0
1.0,True,-19.4806,25.9252,0.025,-18.6204,25.9252,0.025,600.0
1.0,True,-18.6204,25.9252,0.025,-17.7602,25.9252,0.025,600.0
1.0,True,-17.7602,25.9252,0.025,-16.9,25.9252,0.025,600.0
1.0,True,-16.9,25.9252,0.025,-16.0399,25.9252,0.025,600.0
1.0,True,-16.0399,25.9252,0.025,-15.1797,25.9252,0.025,600.0
1.0,True,-15.1797,25.9252,0.025,-14.4207,25.9252,0.025,600.0
1.0,True,-14.4207,25.9252,0.025,-13.6617,25.9252,0.025,600.0
1.0,True,-13.6617,25.9252,0.025,-12.9027,25.9252,0.025,600.0
1.0,True,-12.9027,25.9252,0.025,-12.1437,25.9252,0.025,600.0
1.0,True,-12.1437,25.9252,0.025,-11.3342,25.9252,0.025,600.0
1.0,True,-11.3342,25.9252,0.025,-10.5246,25.9252,0.025,600.0
1.0,True,-10.5246,25.9252,0.025,-9.715,25.9252,0.025,600.0
1.0,True,-9.715,25.9252,0.025,-8.9054,25.9252,0.025,600.0
1.0,True,-8.9054,25.9252,0.025,-7.9946,25.9252,0.025,600.0
1.0,True,-7.9946,25.9252,0.025,-7.0838,25.9252,0.025,600.0
1.0,True,-7.0838,25.9252,0.025,-6.1731,25.9252,0.025,600.0
1.0,True,-6.1731,25.9252,0.025,-5.2117,25.9252,0.025,600.0
1.0,True,-5.2117,25.9252,0.025,-4.2503,25.9252,0.025,600.0
1.0,True,-4.2503,25.9252,0.025,-3.2889,25.9252,0.025,600.0
1.0,True,-3.2889,25.9252,0.025,-2.3276,25.9252,0.025,600.0
1.0,True,-2.3276,25.9252,0.025,-1.3662,25.9252,0.025,600.0
1.0,True,-1.3662,25.9252,0.025,-0.4048,25.9252,0.025,600.0
1.0,True,-0.4048,25.9252,0.025,0.5566,25.9252,0.025,600.0
1.0,True,0.5566,25.9252,0.025,1.518,25.9252,0.025,600.0
1.0,True,1.518,25.9252,0.025,2.4793,25.9252,0.025,600.0
