Change Timestamp,Variable,New Value
2026-03-20T19:12:35Z,xlod,1
2026-03-20T19:12:35Z,ylod,5
2026-03-20T19:12:35Z,zlod,66
2026-03-20T19:12:35Z,fact,24.999
2026-03-20T19:12:35Z,toolnum,6
2026-03-20T19:12:35Z,program,CDSDRYRUN
2026-03-20T19:12:36Z,xpostn,10.4666
2026-03-20T19:12:36Z,ypostn,7.1165
2026-03-20T19:12:36Z,zpostn,154.64115
2026-03-20T19:12:36Z,xlod,1
2026-03-20T19:12:36Z,ylod,5
2026-03-20T19:12:36Z,zlod,69
2026-03-20T19:12:36Z,fact,24.999
2026-03-20T19:12:36Z,toolnum,6
2026-03-20T19:12:36Z,program,CDSDRYRUN
2026-03-20T19:12:37Z,xpostn,10.4666
2026-03-20T19:12:37Z,ypostn,7.1165
2026-03-20T19:12:37Z,zpostn,182.36685
2026-03-20T19:12:37Z,xlod,1
2026-03-20T19:12:37Z,ylod,5
2026-03-20T19:12:37Z,zlod,69
2026-03-20T19:12:37Z,fact,24.999
2026-03-20T19:12:37Z,toolnum,6
2026-03-20T19:12:37Z,program,CDSDRYRUN
2026-03-20T19:12:38Z,xpostn,10.4666
2026-03-20T19:12:38Z,ypostn,7.1165
2026-03-20T19:12:38Z,zpostn,210.8035
2026-03-20T19:12:38Z,xlod,1
2026-03-20T19:12:38Z,ylod,5
2026-03-20T19:12:38Z,zlod,69
2026-03-20T19:12:38Z,fact,24.999
2026-03-20T19:12:38Z,toolnum,6
2026-03-20T19:12:38Z,program,CDSDRYRUN
2026-03-20T19:12:39Z,xpostn,10.4666
2026-03-20T19:12:39Z,ypostn,7.1165
2026-03-20T19:12:39Z,zpostn,226.44365
2026-03-20T19:12:39Z,xlod,1
2026-03-20T19:12:39Z,ylod,5
2026-03-20T19:12:39Z,zlod,69
2026-03-20T19:12:39Z,fact,24.999
2026-03-20T19:12:39Z,toolnum,6
2026-03-20T19:12:39Z,program,CDSDRYRUN
2026-03-20T19:12:40Z,xpostn,10.4666
2026-03-20T19:12:40Z,ypostn,7.1165
